k,FinalSpeed,EstimatedSpeed,PercentError
86,3.1424446169381977,4.832174,53.77116905304356
87,3.1424446169381977,4.892771,55.69950671013337
88,3.1424446169381977,4.930693,56.90628636665714
89,3.1424446169381977,5.0088696,59.39404694616598
90,3.1424446169381977,4.9934335,58.90283152737551
91,3.1424446169381977,5.010885,59.45817262143499
92,3.1424446169381977,5.0434303,60.493849316687246
93,3.1424446169381977,4.5303745,44.16720353823304
94,3.1424446169381977,4.3741913,39.197084352806414
95,3.1424446169381977,5.451292,73.4729709660012
96,3.1424446169381977,4.1786947,32.975922710392304
97,3.1424446169381977,4.2602634,35.571631717223376
98,3.1424446169381977,4.478249,42.50844864186951
99,3.1424446169381977,4.6369057,47.55727579644435
6,4.56941667940945,2.9390361,35.68027743784155
7,4.56941667940945,3.1058178,32.03032218980739
8,4.56941667940945,4.145281,9.28205657645496
9,4.56941667940945,2.8483663,37.6645541352406
10,4.56941667940945,4.7507606,3.9686438900407053
11,4.56941667940945,3.571119,21.847375264655643
12,4.56941667940945,2.7864513,39.019539358756845
13,4.56941667940945,3.0327933,33.628436707713824
14,4.56941667940945,2.234006,51.10960359324742
15,4.56941667940945,2.5501583,44.190726274882216
16,4.56941667940945,3.3207064,27.327564972213413
17,4.56941667940945,2.5183494,44.88685130311066
18,4.56941667940945,2.9837897,34.70086245726381
19,4.56941667940945,3.1699388,30.627057562874782
20,4.56941667940945,3.2587729,28.682957176543074
21,4.56941667940945,2.908075,36.357848315140714
22,4.56941667940945,3.2099626,29.751151369174146
23,4.56941667940945,3.3609018,26.447902032542842
24,4.56941667940945,3.2217941,29.492222870899305
25,4.56941667940945,4.4194098,3.282846324637371
26,4.56941667940945,4.4940863,1.6485783444730804
27,4.56941667940945,3.8924208,14.815806002597945
28,4.56941667940945,3.6037033,21.134282267129674
29,4.56941667940945,3.794488,16.959029578444273
30,4.56941667940945,3.7917829,17.018229633687124
31,4.56941667940945,6.3841105,39.71390439205272
32,4.56941667940945,5.4359517,18.963799783079864
33,4.56941667940945,7.1631804,56.76356204361498
34,4.56941667940945,7.6374073,67.141844106095
35,4.56941667940945,7.732565,69.22433362209408
36,4.56941667940945,7.7664537,69.96597788899153
37,4.56941667940945,7.012174,53.45884653251485
38,4.56941667940945,7.327966,60.36983990204593
39,4.56941667940945,7.281308,59.34874591201288
40,4.56941667940945,6.866045,50.26086434858269
41,4.56941667940945,6.9861236,52.8887394607667
42,4.56941667940945,6.9447045,51.982299270654885
43,4.56941667940945,7.7033434,68.5848311039569
44,4.56941667940945,7.685262,68.18913096386284
45,4.56941667940945,7.2861323,59.454320909173454
46,4.56941667940945,7.038617,54.03754194296649
47,4.56941667940945,6.9928136,53.03514819953933
48,4.56941667940945,6.6228995,44.93971543812145
49,4.56941667940945,6.5728993,43.84547969113492
50,4.56941667940945,6.9772983,52.695600976290294
51,4.56941667940945,8.466301,85.28187640461913
52,4.56941667940945,8.234701,80.21339996685225
53,4.56941667940945,5.904467,29.217086558815865
54,4.56941667940945,6.6447425,45.41774049198438
55,4.56941667940945,5.487256,20.086576364032414
56,4.56941667940945,6.1797395,35.24132091295539
57,4.56941667940945,4.496662,1.592206284113153
58,4.56941667940945,5.0116305,9.677687257302917
59,4.56941667940945,5.1955757,13.703259707600198
60,4.56941667940945,5.0898027,11.388457194982688
61,4.56941667940945,4.471049,2.152744089043456
62,4.56941667940945,4.5420575,0.5987452477700506
63,4.56941667940945,5.0311794,10.105507575439892
64,4.56941667940945,4.783135,4.677145309158978
65,4.56941667940945,4.406349,3.56867208051638
66,4.56941667940945,4.353479,4.725718533039087
67,4.56941667940945,4.362746,4.5229168630955785
68,4.56941667940945,4.112458,10.000367276716943
69,4.56941667940945,4.4178514,3.3169492297199774
70,4.56941667940945,3.9849553,12.790721652100512
71,4.56941667940945,4.1535254,9.101628415843493
72,4.56941667940945,3.779565,17.28561081039431
73,4.56941667940945,4.1776667,8.573304707605358
74,4.56941667940945,3.8612251,15.498511099389347
75,4.56941667940945,3.9773846,12.956404584779996
76,4.56941667940945,3.804584,16.7380807383849
77,4.56941667940945,3.6938117,19.16229325967395
78,4.56941667940945,3.690352,19.238007344076294
79,4.56941667940945,3.4674466,24.116209816168844
80,4.56941667940945,3.5005565,23.39161178410996
81,4.56941667940945,3.427145,24.998194633556945
82,4.56941667940945,3.333237,27.05333816951657
83,4.56941667940945,3.2335403,29.235162310203954
84,4.56941667940945,3.234748,29.20873464584603
85,4.56941667940945,3.2687871,28.46379800852215
86,4.56941667940945,3.2979653,27.82524511228292
87,4.56941667940945,3.4344466,24.838402487266425
88,4.56941667940945,3.3361578,26.989416093297624
89,4.56941667940945,3.288134,28.04039708460258
90,4.56941667940945,2.946822,35.50988813729418
91,4.56941667940945,3.3100598,27.56056148789025
92,4.56941667940945,3.4562807,24.360570488404726
93,4.56941667940945,3.4353151,24.819394396199115
